News title,FB comment,Sentiment
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",ผ่อนบ้านดอกเบี้ยแพงมาก..,neg
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",เดินเรื่องยากมั้ย,q
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",ปวดหัวครับผ่อนบ้านนานมา12ปีกับธ.อ.ส.เหลือเงินต้นอีก319.894บาทบ้านผมโดนยึดขายทอดตลาดที่กรมบังคดี จ.สมุทรปราการทาวน์เฮ้าส์ส่งตรงกับแบงค์ธานาคารสงเคราะห์โดนฟ้องขับไล่อีก  ,neg
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",เริ่มผ่อนตั้งปี2550  ,neu
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",ใบงวดสุดท้ายที่จ่ายให้กับธ.อ.ส.สาขาเก้าแสน จ.สมุทรปราการ  ,neu
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",ถ้าจะช่วยกันจริงๆ น่าจะปลอดดอกเบี้ยช่วง 3 ปีแรกก่อน แล้วค่อยไปเริ่มเก็บดอกเบี้ยปีที่ 4 เห็นดอกเบี้ยช่วงแรกแล้วท้อ ต้นแทบไม่ลดเลย,neg
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",ย้ายแบงค์ ได้ไหม,q
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",🫣🫣,neu
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",มีแถวไหนบ้างค่ะ,q
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",รอมา2เดือนแล้วครับ,neu
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",หัวหินมีมั้ยคะ,q
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",แดง,neu
"ธอส.ปล่อยสินเชื่อคนอยากมีบ้าน ผ่อนนานสุด 40 ปี เดือนละ 2,600",กู้ต่อเติมบ้านได้ไหมคะ,q
ประกาศแล้ว! คุมสัญญาห้องเช่าห้ามเก็บค่าน้ำไฟเกินจริง เช็กสูตร,ค่าไฟห้องเช่าผมหน่วยละ 12 บาทให้หน่วยงานมาตรวจสอบด่วน,neg
ประกาศแล้ว! คุมสัญญาห้องเช่าห้ามเก็บค่าน้ำไฟเกินจริง เช็กสูตร,ประกาศอย่างเดียวไม่ได้ ต้องลงพื้นที่ด้วย,neg
ประกาศแล้ว! คุมสัญญาห้องเช่าห้ามเก็บค่าน้ำไฟเกินจริง เช็กสูตร,อย่างเป็นแค่เสือกระดาษออกตรวจสอบด้วย,neg
ประกาศแล้ว! คุมสัญญาห้องเช่าห้ามเก็บค่าน้ำไฟเกินจริง เช็กสูตร,เช่าเขาอยู่ค่าน้ำไฟแพงมากเลยเจ้าของเอาจนรวยก็ต้องทำใจ,neg
ประกาศแล้ว! คุมสัญญาห้องเช่าห้ามเก็บค่าน้ำไฟเกินจริง เช็กสูตร,เห็นด้วย,pos
ประกาศแล้ว! คุมสัญญาห้องเช่าห้ามเก็บค่าน้ำไฟเกินจริง เช็กสูตร,เสือกระดาษ,neg
ประกาศแล้ว! คุมสัญญาห้องเช่าห้ามเก็บค่าน้ำไฟเกินจริง เช็กสูตร,น่าจะคุมให้เก็บตามไฟหลวง.. ไปเช่าห้องเจอค่าไฟหน่วยละ8บาทหนักเอาการอยู่ค่ะ,neg
ประกาศแล้ว! คุมสัญญาห้องเช่าห้ามเก็บค่าน้ำไฟเกินจริง เช็กสูตร,เดี๋ยวมันก้อซิกแซกไปเก็บอย่างอื่นเพิ่ม,neg
ประกาศแล้ว! คุมสัญญาห้องเช่าห้ามเก็บค่าน้ำไฟเกินจริง เช็กสูตร,กว่าจะคุมเค้ารวยกันหมดแล้ว,neg
ทัวร์ลงหนัก ! หนุ่มเตะกระทงป่วนคู่รัก,หลังเกิดกระแสวิพากษ์วิจารณ์อย่างหนัก เจ้าตัวได้ตัดสินใจลบคลิปออกจาก Facebook พร้อมโพสต์ข้อความขอโทษ โดยยอมรับผิดกับการกระทำ ยืนยันว่าไม่มีเจตนาดูหมิ่นประเพณี หรือให้คนอื่นทำตาม แต่ลงคลิปเพื่อความบันเทิงเท่านั้น,neu
